backend,nivel,pregunta,objetivo,top5_pubmed,top5_ct,mejor_sim_pubmed,mejor_sim_ct,ct_pasa_umbral,ct_relevantes,ct_perdido_por_umbral,pubmed_trae_cifras_ae,ct_trae_cifras_ae,necesita_ae
OpenAI 3-small (Centivence),Basico,Does tralokinumab reduce itch in patients with atopic dermatitis?,tralokinumab,4,1,0.755,0.754,1,5,0,0,0,0
OpenAI 3-small (Centivence),Basico,What is the efficacy of nemolizumab for pruritus in atopic dermatitis?,nemolizumab,5,0,0.827,0.771,1,5,0,0,0,0
OpenAI 3-small (Centivence),Basico,How well does upadacitinib control moderate-to-severe atopic dermatitis?,upadacitinib,4,1,0.821,0.812,1,5,0,0,0,0
OpenAI 3-small (Centivence),Basico,Is abrocitinib effective for atopic dermatitis in adults?,abrocitinib,4,1,0.834,0.801,1,5,0,0,0,0
OpenAI 3-small (Centivence),Basico,What is the clinical efficacy of baricitinib in atopic dermatitis?,baricitinib,3,2,0.828,0.803,1,5,0,0,0,0
OpenAI 3-small (Centivence),Basico,What are the most common adverse events of upadacitinib in atopic dermatitis?,upadacitinib,4,1,0.777,0.776,1,5,0,1,1,0
OpenAI 3-small (Centivence),Basico,What is known about conjunctivitis as a side effect of dupilumab?,dupilumab,5,0,0.847,0.729,1,5,0,1,1,0
OpenAI 3-small (Centivence),Basico,How does dupilumab compare with tralokinumab in efficacy and safety?,dupilumab;tralokinumab,5,0,0.83,0.707,1,5,0,0,1,0
OpenAI 3-small (Centivence),Basico,Is lebrikizumab effective in difficult-to-treat areas such as the head and neck?,lebrikizumab,5,0,0.722,0.659,1,5,0,0,1,0
OpenAI 3-small (Centivence),Basico,What is the evidence for dupilumab in adolescents with atopic dermatitis?,dupilumab,5,0,0.792,0.774,1,5,0,0,0,0
OpenAI 3-small (Centivence),Basico,What is the safety profile of JAK inhibitors in atopic dermatitis?,upadacitinib;baricitinib;abrocitinib,5,0,0.805,0.657,1,3,0,0,0,0
OpenAI 3-small (Centivence),Dificil,Which biologics that block IL-13 are used to treat eczema?,tralokinumab;lebrikizumab,5,0,0.701,0.571,1,2,0,0,0,0
OpenAI 3-small (Centivence),Dificil,Is there an antibody targeting the IL-4 receptor alpha for atopic eczema?,dupilumab,5,0,0.705,0.599,1,3,0,0,0,0
OpenAI 3-small (Centivence),Dificil,What therapy targeting IL-31 signaling relieves itch in atopic eczema?,nemolizumab,5,0,0.756,0.67,1,0,0,0,0,0
OpenAI 3-small (Centivence),Dificil,Which oral JAK inhibitors are used for severe eczema?,upadacitinib;baricitinib;abrocitinib,5,0,0.716,0.621,1,4,0,0,0,0
OpenAI 3-small (Centivence),Dificil,What JAK1-selective inhibitors treat atopic eczema?,upadacitinib;abrocitinib,5,0,0.772,0.671,1,2,0,0,0,0
OpenAI 3-small (Centivence),Dificil,Monoclonal antibody options for neurodermatitis with intense pruritus?,dupilumab;tralokinumab;lebrikizumab;nemolizumab,5,0,0.658,0.544,1,4,0,0,0,0
OpenAI 3-small (Centivence),Dificil,Which anti-interleukin therapies reduce flare severity in chronic eczema?,dupilumab;tralokinumab;lebrikizumab;nemolizumab,5,0,0.68,0.577,1,3,0,0,0,0
OpenAI 3-small (Centivence),Dificil,Systemic small-molecule treatments for refractory atopic eczema itch?,upadacitinib;baricitinib;abrocitinib,5,0,0.7,0.557,1,3,0,0,0,0
OpenAI 3-small (Centivence),Seguridad,What adverse events were reported with dupilumab versus placebo?,dupilumab,4,1,0.792,0.81,1,5,0,0,1,1
OpenAI 3-small (Centivence),Seguridad,How frequent is conjunctivitis in patients treated with dupilumab?,dupilumab,5,0,0.825,0.747,1,5,0,1,1,1
OpenAI 3-small (Centivence),Seguridad,What is the rate of injection-site reactions with tralokinumab?,tralokinumab,4,1,0.747,0.75,1,5,0,1,1,1
OpenAI 3-small (Centivence),Seguridad,What serious adverse events occurred with upadacitinib?,upadacitinib,5,0,0.787,0.768,1,5,0,1,1,1
OpenAI 3-small (Centivence),Seguridad,How many patients discontinued abrocitinib due to adverse events?,abrocitinib,5,0,0.764,0.716,1,5,0,1,1,1
OpenAI 3-small (Centivence),Seguridad,What is the incidence of herpes zoster with JAK inhibitors in atopic dermatitis?,upadacitinib;baricitinib;abrocitinib,5,0,0.787,0.632,1,5,0,0,1,1
OpenAI 3-small (Centivence),Seguridad,Is acne a common side effect of upadacitinib?,upadacitinib,4,1,0.801,0.738,1,5,0,1,1,1
OpenAI 3-small (Centivence),Seguridad,What nasopharyngitis rates were observed with lebrikizumab?,lebrikizumab,0,5,0.729,0.793,1,5,0,1,1,1
OpenAI 3-small (Centivence),Seguridad,What safety signals have been reported for nemolizumab?,nemolizumab,3,2,0.737,0.703,1,5,0,1,1,0
OpenAI 3-small (Centivence),Seguridad,How does the safety of baricitinib compare with placebo in eczema?,baricitinib,1,4,0.775,0.798,1,5,0,0,1,1
OpenAI 3-small (Centivence),Seguridad,Were there any deaths or malignancies reported with JAK inhibitors for eczema?,upadacitinib;baricitinib;abrocitinib,5,0,0.723,0.59,1,4,0,1,1,0
OpenAI 3-small (Centivence),Seguridad,What laboratory abnormalities were seen with upadacitinib treatment?,upadacitinib,5,0,0.757,0.721,1,5,0,1,1,0
