backend,nivel,pregunta,objetivo,precision@k,hit@1,rr,docs_relevantes
OpenAI 3-small (Centivence),Basico (nombra el farmaco),How well does upadacitinib control moderate-to-severe atopic dermatitis?,upadacitinib,1.0,1,1.0,5
OpenAI 3-small (Centivence),Basico (nombra el farmaco),Is abrocitinib effective for atopic dermatitis in adults?,abrocitinib,1.0,1,1.0,5
OpenAI 3-small (Centivence),Basico (nombra el farmaco),What is the clinical efficacy of baricitinib in atopic dermatitis?,baricitinib,1.0,1,1.0,5
OpenAI 3-small (Centivence),Basico (nombra el farmaco),What are the most common adverse events of upadacitinib in atopic dermatitis?,upadacitinib,1.0,1,1.0,5
OpenAI 3-small (Centivence),Basico (nombra el farmaco),What is known about conjunctivitis as a side effect of dupilumab?,dupilumab,1.0,1,1.0,5
OpenAI 3-small (Centivence),Basico (nombra el farmaco),How does dupilumab compare with tralokinumab in efficacy and safety?,dupilumab;tralokinumab,1.0,1,1.0,5
OpenAI 3-small (Centivence),Basico (nombra el farmaco),Is lebrikizumab effective in difficult-to-treat areas such as the head and neck?,lebrikizumab,1.0,1,1.0,5
OpenAI 3-small (Centivence),Basico (nombra el farmaco),What is the evidence for dupilumab in adolescents with atopic dermatitis?,dupilumab,1.0,1,1.0,5
OpenAI 3-small (Centivence),Basico (nombra el farmaco),What is the safety profile of JAK inhibitors in atopic dermatitis?,upadacitinib;baricitinib;abrocitinib,0.6,1,1.0,3
OpenAI 3-small (Centivence),Dificil (sinonimo/mecanismo),Which biologics that block IL-13 are used to treat eczema?,tralokinumab;lebrikizumab,1.0,1,1.0,5
OpenAI 3-small (Centivence),Dificil (sinonimo/mecanismo),Is there an antibody targeting the IL-4 receptor alpha for atopic eczema?,dupilumab,0.6,0,0.333,3
OpenAI 3-small (Centivence),Dificil (sinonimo/mecanismo),What therapy targeting IL-31 signaling relieves itch in atopic eczema?,nemolizumab,0.8,0,0.5,4
OpenAI 3-small (Centivence),Dificil (sinonimo/mecanismo),Which oral JAK inhibitors are used for severe eczema?,upadacitinib;baricitinib;abrocitinib,1.0,1,1.0,5
OpenAI 3-small (Centivence),Dificil (sinonimo/mecanismo),What JAK1-selective inhibitors treat atopic eczema?,upadacitinib;abrocitinib,0.6,1,1.0,3
OpenAI 3-small (Centivence),Dificil (sinonimo/mecanismo),Monoclonal antibody options for neurodermatitis with intense pruritus?,dupilumab;tralokinumab;lebrikizumab;nemolizumab,1.0,1,1.0,5
OpenAI 3-small (Centivence),Dificil (sinonimo/mecanismo),Which anti-interleukin therapies reduce flare severity in chronic eczema?,dupilumab;tralokinumab;lebrikizumab;nemolizumab,1.0,1,1.0,5
OpenAI 3-small (Centivence),Dificil (sinonimo/mecanismo),Systemic small-molecule treatments for refractory atopic eczema itch?,upadacitinib;baricitinib;abrocitinib,0.2,0,0.5,1
